id,name,category,subcategory,price,original_price,description,specifications,image_url,stock_quantity,brand,rating,review_count,tags,weight,dimensions,color_options,size_options,is_featured,created_date
148,Xiaomi Smart Watches,Electronics,Smart Watches,8575,11034,"Experience cutting-edge technology with this premium smart watches from Xiaomi. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?smartwatch-wearable,328,Xiaomi,3.5,759,"electronics, smart watches, xiaomi, budget, trending, new arrival",0.84,36x10x12,"Navy, Black, Yellow",One Size,TRUE,2025-01-20
149,Canon Smart Watches,Electronics,Smart Watches,12076,14655,"Experience cutting-edge technology with this premium smart watches from Canon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?smartwatch-wearable,261,Canon,4.9,1996,"electronics, smart watches, canon, sale",1.47,12x39x12,"Maroon, Yellow, Purple, White",One Size,FALSE,2024-04-07
150,Oppo Smart Watches,Electronics,Smart Watches,6374,9228,"Experience cutting-edge technology with this premium smart watches from Oppo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Trusted by millions of customers.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?smartwatch-wearable,300,Oppo,3.1,1361,"electronics, smart watches, oppo, trending",1.53,30x39x30,"Maroon, Yellow, Navy, Purple",One Size,FALSE,2024-08-27
151,Samsung Smart Watches,Electronics,Smart Watches,8642,10591,"Experience cutting-edge technology with this premium smart watches from Samsung. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?smartwatch-wearable,89,Samsung,3.2,925,"electronics, smart watches, samsung, premium, budget",0.69,32x40x29,"Purple, Green",One Size,FALSE,2024-09-28
152,Samsung Smart Watches,Electronics,Smart Watches,4962,6121,"Experience cutting-edge technology with this premium smart watches from Samsung. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?smartwatch-wearable,366,Samsung,4.2,445,"electronics, smart watches, samsung, trending, bestseller",3.58,32x22x21,Navy,One Size,FALSE,2024-09-23
153,Sony Smart Watches,Electronics,Smart Watches,3018,4931,"Experience cutting-edge technology with this premium smart watches from Sony. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?smartwatch-wearable,393,Sony,4.1,198,"electronics, smart watches, sony, bestseller, trending",0.7,13x36x29,"Red, Blue",One Size,FALSE,2025-01-16
154,Noise Smart Watches,Electronics,Smart Watches,22653,36797,"Experience cutting-edge technology with this premium smart watches from Noise. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x600/?smartwatch-wearable,142,Noise,4.8,158,"electronics, smart watches, noise, bestseller",1.07,38x35x9,Yellow,One Size,FALSE,2024-02-13
155,Vivo Smart Watches,Electronics,Smart Watches,3659,4528,"Experience cutting-edge technology with this premium smart watches from Vivo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?smartwatch-wearable,212,Vivo,4,788,"electronics, smart watches, vivo, budget, trending, premium",1.15,21x18x13,"Red, Black, Brown, Blue",One Size,FALSE,2025-05-25
156,Realme Smart Watches,Electronics,Smart Watches,20044,27448,"Experience cutting-edge technology with this premium smart watches from Realme. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x500/?smartwatch-wearable,80,Realme,3.8,1321,"electronics, smart watches, realme, trending, new arrival, bestseller",4.95,32x25x22,"Yellow, Brown, Gray, Maroon",One Size,FALSE,2024-10-03
157,Sony Smart Watches,Electronics,Smart Watches,2854,3705,"Experience cutting-edge technology with this premium smart watches from Sony. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Eco-friendly and sustainable.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?smartwatch-wearable,39,Sony,4.6,971,"electronics, smart watches, sony, premium, new arrival, trending",4.87,16x17x26,"Green, Gray",One Size,TRUE,2024-08-12
158,Boat Smart Watches,Electronics,Smart Watches,14727,19344,"Experience cutting-edge technology with this premium smart watches from Boat. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x400/?smartwatch-wearable,131,Boat,4.2,1656,"electronics, smart watches, boat, sale, premium, bestseller",3.55,32x40x23,"Brown, Blue",One Size,FALSE,2025-07-09
159,Sony Tablets,Electronics,Tablets,24070,28637,"Experience cutting-edge technology with this premium tablets from Sony. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?tablet-device,122,Sony,3,983,"electronics, tablets, sony, premium",4.6,22x35x9,"Maroon, Red, Yellow",7 inch,FALSE,2025-08-23
160,Canon Tablets,Electronics,Tablets,38055,46716,"Experience cutting-edge technology with this premium tablets from Canon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?tablet-device,47,Canon,3.7,1934,"electronics, tablets, canon, budget, new arrival, bestseller",1.75,30x14x10,"Navy, Purple, Yellow, Red","10 inch, 7 inch, 12 inch",FALSE,2024-11-10
161,Canon Tablets,Electronics,Tablets,30560,39362,"Experience cutting-edge technology with this premium tablets from Canon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Eco-friendly and sustainable.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?tablet-device,495,Canon,4.4,1178,"electronics, tablets, canon, new arrival, bestseller",0.99,30x39x30,"Navy, Brown",12 inch,FALSE,2024-12-05
162,Canon Tablets,Electronics,Tablets,10549,13344,"Experience cutting-edge technology with this premium tablets from Canon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?tablet-device,463,Canon,4.9,1687,"electronics, tablets, canon, sale, premium, budget",0.16,23x17x27,Yellow,"7 inch, 10 inch",TRUE,2024-02-19
163,Realme Tablets,Electronics,Tablets,22359,33529,"Experience cutting-edge technology with this premium tablets from Realme. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Eco-friendly and sustainable.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x500/?tablet-device,461,Realme,3.8,1123,"electronics, tablets, realme, bestseller, budget",3.96,46x30x29,"Red, Purple",7 inch,FALSE,2024-01-21
164,Xiaomi Tablets,Electronics,Tablets,16556,27048,"Experience cutting-edge technology with this premium tablets from Xiaomi. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x400/?tablet-device,464,Xiaomi,3.8,1504,"electronics, tablets, xiaomi, new arrival",4.71,15x20x24,"Maroon, Black, Pink, Red","12 inch, 7 inch, 10 inch",FALSE,2024-12-05
165,LG Tablets,Electronics,Tablets,39929,49755,"Experience cutting-edge technology with this premium tablets from LG. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x600/?tablet-device,483,LG,4.5,548,"electronics, tablets, lg, premium, sale, trending",0.57,35x28x22,"Red, Black, Yellow, Navy","7 inch, 8 inch",FALSE,2025-05-06
166,LG Tablets,Electronics,Tablets,11178,13250,"Experience cutting-edge technology with this premium tablets from LG. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Eco-friendly and sustainable.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?tablet-device,51,LG,3.9,241,"electronics, tablets, lg, budget, sale",2.5,26x12x25,"Red, Yellow, Pink, Navy",12 inch,TRUE,2024-09-26
167,Vivo Tablets,Electronics,Tablets,23239,29635,"Experience cutting-edge technology with this premium tablets from Vivo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?tablet-device,41,Vivo,3.3,1431,"electronics, tablets, vivo, bestseller, sale, premium",4.06,36x34x23,"Gray, Black","12 inch, 10 inch",FALSE,2025-08-09
168,LG Tablets,Electronics,Tablets,23606,30448,"Experience cutting-edge technology with this premium tablets from LG. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Trusted by millions of customers.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?tablet-device,267,LG,4.1,1063,"electronics, tablets, lg, sale, new arrival, trending",0.69,38x15x10,"Blue, Red",12 inch,FALSE,2025-03-21
169,LG Tablets,Electronics,Tablets,34953,50423,"Experience cutting-edge technology with this premium tablets from LG. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?tablet-device,173,LG,4.8,1877,"electronics, tablets, lg, bestseller",2,35x27x15,"Gray, Purple, Black","12 inch, 7 inch, 8 inch",FALSE,2024-05-31
170,Boat Tablets,Electronics,Tablets,27265,38710,"Experience cutting-edge technology with this premium tablets from Boat. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?tablet-device,409,Boat,3.2,590,"electronics, tablets, boat, premium, budget, sale",1.98,41x28x24,"Black, Red, Green, Pink",12 inch,TRUE,2025-02-09
171,Xiaomi Tablets,Electronics,Tablets,30626,38737,"Experience cutting-edge technology with this premium tablets from Xiaomi. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x500/?tablet-device,469,Xiaomi,3.7,696,"electronics, tablets, xiaomi, premium, sale",4.23,16x37x12,"Green, Purple","10 inch, 12 inch",FALSE,2025-09-11
172,Noise Tablets,Electronics,Tablets,10925,13604,"Experience cutting-edge technology with this premium tablets from Noise. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Eco-friendly and sustainable.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?tablet-device,258,Noise,4.5,1781,"electronics, tablets, noise, bestseller, new arrival",3.98,14x19x27,"Red, Gray, Brown, Black",8 inch,FALSE,2024-02-29
173,LG Tablets,Electronics,Tablets,9083,12342,"Experience cutting-edge technology with this premium tablets from LG. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?tablet-device,150,LG,3.7,955,"electronics, tablets, lg, budget, bestseller, new arrival",1.29,41x29x19,"Purple, Brown","10 inch, 8 inch, 7 inch",FALSE,2024-04-02
174,OnePlus Tablets,Electronics,Tablets,8899,11812,"Experience cutting-edge technology with this premium tablets from OnePlus. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Eco-friendly and sustainable.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?tablet-device,448,OnePlus,3.4,466,"electronics, tablets, oneplus, trending, premium, budget",2.62,10x25x9,"Brown, Black",10 inch,FALSE,2024-11-08
175,Canon Tablets,Electronics,Tablets,39687,59000,"Experience cutting-edge technology with this premium tablets from Canon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x500/?tablet-device,446,Canon,3.7,521,"electronics, tablets, canon, budget",1.58,43x36x24,"Brown, White, Black, Gray","10 inch, 12 inch, 8 inch",FALSE,2024-04-20
176,Vivo Tablets,Electronics,Tablets,10091,13174,"Experience cutting-edge technology with this premium tablets from Vivo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?tablet-device,451,Vivo,3.6,1348,"electronics, tablets, vivo, sale, premium, trending",0.83,25x38x6,"Navy, Yellow, Red, Black","12 inch, 8 inch, 10 inch",FALSE,2025-02-18
177,Realme Tablets,Electronics,Tablets,32141,38209,"Experience cutting-edge technology with this premium tablets from Realme. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?tablet-device,185,Realme,4.5,460,"electronics, tablets, realme, new arrival, budget, premium",2.59,20x36x26,"Green, White","8 inch, 10 inch",FALSE,2025-07-26
178,Nikon Tablets,Electronics,Tablets,37904,47130,"Experience cutting-edge technology with this premium tablets from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?tablet-device,55,Nikon,3.4,462,"electronics, tablets, nikon, premium, budget, sale",1.92,47x19x19,Purple,7 inch,FALSE,2024-07-18
179,Oppo Tablets,Electronics,Tablets,11926,18836,"Experience cutting-edge technology with this premium tablets from Oppo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Trusted by millions of customers.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?tablet-device,221,Oppo,3.1,1754,"electronics, tablets, oppo, trending",4.96,31x23x23,"Red, Yellow, Maroon, White","10 inch, 12 inch",FALSE,2024-11-16
180,Noise Tablets,Electronics,Tablets,9900,11663,"Experience cutting-edge technology with this premium tablets from Noise. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x400/?tablet-device,305,Noise,4.5,1007,"electronics, tablets, noise, trending",3.11,50x23x17,"Purple, Pink, Black, Brown","8 inch, 10 inch, 12 inch",TRUE,2024-11-25
181,Nikon Tablets,Electronics,Tablets,35303,49220,"Experience cutting-edge technology with this premium tablets from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?tablet-device,330,Nikon,4.5,468,"electronics, tablets, nikon, premium, sale, trending",0.6,42x28x14,"White, Black","10 inch, 8 inch",FALSE,2025-09-02
182,Oppo Tablets,Electronics,Tablets,19070,25715,"Experience cutting-edge technology with this premium tablets from Oppo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?tablet-device,471,Oppo,4,1541,"electronics, tablets, oppo, trending",4.75,35x10x12,"Maroon, Red",7 inch,FALSE,2025-05-31
183,Sony Tablets,Electronics,Tablets,12035,15869,"Experience cutting-edge technology with this premium tablets from Sony. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?tablet-device,458,Sony,4.3,1584,"electronics, tablets, sony, new arrival, bestseller, sale",3.34,11x11x27,Pink,"12 inch, 7 inch",FALSE,2024-09-15
184,Vivo Tablets,Electronics,Tablets,30998,38188,"Experience cutting-edge technology with this premium tablets from Vivo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x600/?tablet-device,14,Vivo,3.6,1360,"electronics, tablets, vivo, sale",2.65,49x29x27,"Pink, White","7 inch, 8 inch, 12 inch",FALSE,2025-05-24
185,LG Tablets,Electronics,Tablets,27955,34941,"Experience cutting-edge technology with this premium tablets from LG. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?tablet-device,193,LG,4.4,609,"electronics, tablets, lg, bestseller",2.79,23x32x20,"Blue, Black, Navy","7 inch, 12 inch, 8 inch",FALSE,2024-04-02
186,Nikon Tablets,Electronics,Tablets,24767,29795,"Experience cutting-edge technology with this premium tablets from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?tablet-device,339,Nikon,3.5,611,"electronics, tablets, nikon, budget, bestseller",0.59,21x37x6,"Yellow, Navy, Maroon","7 inch, 12 inch",TRUE,2024-01-10
187,Sony Tablets,Electronics,Tablets,29736,43208,"Experience cutting-edge technology with this premium tablets from Sony. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x500/?tablet-device,499,Sony,4.2,1804,"electronics, tablets, sony, bestseller, premium, new arrival",1,35x22x19,"Pink, Purple, Maroon","8 inch, 7 inch, 10 inch",TRUE,2024-06-12
188,Realme Gaming,Electronics,Gaming,22357,30654,"Experience cutting-edge technology with this premium gaming from Realme. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?gaming-console,102,Realme,4.2,1600,"electronics, gaming, realme, new arrival, bestseller",4.33,18x25x20,Pink,One Size,FALSE,2024-02-17
189,Samsung Gaming,Electronics,Gaming,11572,16862,"Experience cutting-edge technology with this premium gaming from Samsung. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x600/?gaming-console,278,Samsung,4.5,1185,"electronics, gaming, samsung, new arrival, trending, premium",2.64,49x13x18,"Purple, Yellow",One Size,FALSE,2024-06-01
190,Oppo Gaming,Electronics,Gaming,23083,27599,"Experience cutting-edge technology with this premium gaming from Oppo. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?gaming-console,444,Oppo,3.9,1020,"electronics, gaming, oppo, bestseller",3.78,30x17x15,"Black, Gray, Blue",One Size,FALSE,2025-01-22
191,Realme Gaming,Electronics,Gaming,29774,37629,"Experience cutting-edge technology with this premium gaming from Realme. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Trusted by millions of customers.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?gaming-console,239,Realme,3.2,1025,"electronics, gaming, realme, premium, bestseller",4.91,11x13x17,"Black, Gray, Navy, Maroon",One Size,FALSE,2025-09-10
192,Boat Gaming,Electronics,Gaming,23890,30871,"Experience cutting-edge technology with this premium gaming from Boat. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x400/?gaming-console,345,Boat,4.3,1951,"electronics, gaming, boat, premium, bestseller",4.1,39x20x22,"Maroon, Navy, Yellow, Purple",One Size,FALSE,2024-04-09
193,Nikon Gaming,Electronics,Gaming,24591,30949,"Experience cutting-edge technology with this premium gaming from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?gaming-console,419,Nikon,3.6,1074,"electronics, gaming, nikon, sale, bestseller",0.32,20x25x9,"White, Green, Brown, Blue",One Size,FALSE,2024-05-03
194,Realme Gaming,Electronics,Gaming,10064,13678,"Experience cutting-edge technology with this premium gaming from Realme. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?gaming-console,183,Realme,3.2,853,"electronics, gaming, realme, sale",4.2,47x13x29,"Purple, Navy, Brown, Gray",One Size,FALSE,2025-05-25
195,Apple Gaming,Electronics,Gaming,20378,30600,"Experience cutting-edge technology with this premium gaming from Apple. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x600/?gaming-console,257,Apple,4.8,1604,"electronics, gaming, apple, sale",2.93,18x13x17,"Gray, Pink, Navy",One Size,FALSE,2024-09-11
196,OnePlus Gaming,Electronics,Gaming,16037,26328,"Experience cutting-edge technology with this premium gaming from OnePlus. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Modern design meets functionality.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x400/?gaming-console,80,OnePlus,3.8,1438,"electronics, gaming, oneplus, new arrival, premium, sale",3.59,45x30x11,"Blue, Brown",One Size,FALSE,2024-12-19
197,Noise Gaming,Electronics,Gaming,7347,12150,"Experience cutting-edge technology with this premium gaming from Noise. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Excellent customer reviews.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?gaming-console,287,Noise,4.4,665,"electronics, gaming, noise, bestseller, premium, budget",2.96,36x31x28,"Pink, Black, Gray",One Size,FALSE,2024-01-26
198,Realme Gaming,Electronics,Gaming,7762,9276,"Experience cutting-edge technology with this premium gaming from Realme. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x500/?gaming-console,394,Realme,4.6,591,"electronics, gaming, realme, premium, trending, bestseller",3.48,28x16x29,Yellow,One Size,FALSE,2024-04-14
199,Boat Gaming,Electronics,Gaming,25135,37789,"Experience cutting-edge technology with this premium gaming from Boat. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Fast delivery available.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?gaming-console,341,Boat,4.1,491,"electronics, gaming, boat, sale, premium, bestseller",4.64,34x23x30,"Gray, Black, Navy",One Size,FALSE,2024-07-26
200,Boat Gaming,Electronics,Gaming,28589,45029,"Experience cutting-edge technology with this premium gaming from Boat. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Trusted by millions of customers.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/400x600/?gaming-console,370,Boat,4.4,758,"electronics, gaming, boat, new arrival, sale, trending",3.9,22x19x19,"Navy, White",One Size,FALSE,2024-06-26
201,Canon Gaming,Electronics,Gaming,19837,24186,"Experience cutting-edge technology with this premium gaming from Canon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/500x500/?gaming-console,294,Canon,3.5,334,"electronics, gaming, canon, premium, bestseller, sale",2.39,19x11x9,"Brown, Black, Maroon",One Size,FALSE,2025-05-17
202,Nikon Gaming,Electronics,Gaming,21765,30549,"Experience cutting-edge technology with this premium gaming from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Easy to use and maintain.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?gaming-console,279,Nikon,3.4,381,"electronics, gaming, nikon, bestseller, new arrival, trending",2.14,44x22x7,"Blue, Maroon, Yellow",One Size,FALSE,2025-01-04
203,OnePlus Gaming,Electronics,Gaming,10158,16586,"Experience cutting-edge technology with this premium gaming from OnePlus. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?gaming-console,297,OnePlus,4.6,1334,"electronics, gaming, oneplus, bestseller",3.38,38x17x25,"Black, Navy",One Size,FALSE,2025-01-25
204,Nikon Gaming,Electronics,Gaming,6715,8911,"Experience cutting-edge technology with this premium gaming from Nikon. Features advanced specifications, sleek design, and reliable performance. Perfect for professionals and enthusiasts alike. Comes with manufacturer warranty and excellent customer support. Perfect gift for loved ones.","{""brand"": ""Original"", ""condition"": ""New""}",https://source.unsplash.com/600x500/?gaming-console,22,Nikon,4.8,1688,"electronics, gaming, nikon, new arrival, sale",2.28,12x19x25,"Yellow, Gray",One Size,FALSE,2024-04-08
